timestamp_ms,qw,qx,qy,qz,gx,gy,gz
1548190,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548202,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548214,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548226,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548238,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548250,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548262,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548274,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548286,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548298,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548310,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548322,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548334,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548346,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548358,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548370,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548382,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548394,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548406,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548418,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548430,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548442,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548454,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548466,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548478,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548490,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548502,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548514,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548526,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548538,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548550,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548562,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548574,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548586,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548598,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548610,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548622,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548634,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548646,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548658,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548670,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548682,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548694,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548706,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548718,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548730,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548742,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548754,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548766,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548778,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548790,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548802,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548814,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548826,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548838,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548850,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548862,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548874,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548886,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548898,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548910,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548922,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548934,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548946,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548957,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548969,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548981,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1548993,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549005,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549017,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549029,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549041,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549053,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549065,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549077,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549089,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549101,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549113,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549125,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549137,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549149,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549161,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549173,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549185,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549197,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549209,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549221,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549233,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549245,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549257,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549269,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549281,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549293,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549305,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549317,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549329,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549341,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549353,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549365,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549377,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549389,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549401,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549413,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549425,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549437,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549449,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549461,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549473,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549485,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549497,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549509,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549521,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549533,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549545,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549557,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549569,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549581,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549593,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549605,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549617,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549629,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549641,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549653,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549665,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549677,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549689,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549701,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549713,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549725,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549737,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549749,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549761,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549773,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549785,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549797,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549809,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
1549821,0.515381,-0.176025,0.210632,-0.811829,-6.070312,-3.193359,8.802734
