sample,timestamp_w,timestamp_b,qw_w,qx_w,qy_w,qz_w,qw_b,qx_b,qy_b,qz_b,gx_w,gy_w,gz_w,gx_b,gy_b,gz_b,angle_w,angle_b,angle_w_s,angle_b_s,angle_diff,angle_w_norm,angle_b_norm,gyro_w,gyro_b,gyro_w_s,gyro_b_s
17,582831,197025,0.625122,0.187805,0.729492,-0.204529,0.457275,0.268311,0.727905,-0.434814,-0.009766,0.003906,-0.027344,0.001953,-0.005859,-0.003906,0.20354404815528698,0.050075116210820746,0.1889221727528803,0.05831410960481599,0.13060806314806434,0.0007817809175031073,0.00019949488862540965,0.029297200002730638,0.007307456876369507,0.03317268816827512,0.024496003177440582
18,582851,197040,0.624939,0.1875,0.729675,-0.204529,0.457275,0.26825,0.727783,-0.434998,-0.017578,0.015625,-0.03125,0.019531,-0.013672,-0.011719,0.1661987603995954,0.07041121177278206,0.17064286904509546,0.07199387394239903,0.09864899510269642,0.000679878062211183,0.00027632593593150115,0.03911124146584968,0.02656536289983632,0.03815008267149393,0.02677578077667716
19,582861,197054,0.624878,0.187317,0.729797,-0.204529,0.457275,0.268311,0.727661,-0.435181,-0.023437,0.021484,-0.03125,0.037109,-0.023437,0.0,0.1454034520161172,0.08627419241681313,0.14249661445243944,0.08632411678783589,0.056172497664603555,0.0005229692567875077,0.00035681033162687797,0.04458046349018817,0.0438904414423004,0.05006657015068403,0.028727417171111456
20,582871,197065,0.624817,0.187073,0.729919,-0.204468,0.457336,0.268372,0.727539,-0.435364,-0.052734,0.019531,-0.029297,0.03125,-0.029297,0.003906,0.11714403614556541,0.10624482790155004,0.11225738109463194,0.10336933276799654,0.008888048326635409,0.00035439258284740356,0.0004525431061832598,0.06340858716293875,0.04301317873628965,0.053759531885827196,0.03198581183683473
21,582881,197075,0.624756,0.186829,0.730103,-0.204285,0.457397,0.268372,0.727417,-0.435425,-0.066406,0.017578,-0.027344,0.011719,-0.019531,0.001953,0.08019277554563214,0.11861523563721346,0.08796820622516219,0.12134446000105106,-0.033376253775888876,0.00021898609737882975,0.0005534986355838366,0.07393535863171288,0.022860645900761423,0.05170474857824668,0.033278869518980084
22,582891,197085,0.624756,0.186584,0.730225,-0.204163,0.45752,0.268372,0.727356,-0.435547,-0.041016,0.011719,-0.021484,0.007813,-0.021484,0.005859,0.05234788136624948,0.13530119611162406,0.06719052795368244,0.13904664606066128,-0.07185611810697884,0.00010315538653512117,0.0006529212178011736,0.04776200867844651,0.02359943020498588,0.044491241807556044,0.030107336058576174
23,582901,197100,0.624695,0.186401,0.730286,-0.204102,0.457703,0.268372,0.727112,-0.435608,-0.023437,0.009766,-0.013672,0.009766,-0.029297,0.011719,0.0447528860522467,0.16028684793805464,0.05352405806726227,0.15546247513499764,-0.10193841706773538,2.6968004047778084e-05,0.0007451191028710189,0.028837324927947112,0.03303065131056304,0.036398290806156516,0.02971719436611061
24,582911,197114,0.624695,0.18634,0.730347,-0.204041,0.457703,0.268372,0.727051,-0.43573,-0.005859,0.005859,-0.001953,0.027344,-0.005859,-0.001953,0.041515060658718406,0.17478512271486413,0.04868654556606768,0.17372724422015126,-0.12504069865408357,0.0,0.0008477013771694819,0.008512929636734935,0.02803277414028087,0.03151642850920008,0.033853497141253144
25,582921,197125,0.624634,0.18634,0.730408,-0.204041,0.457703,0.268433,0.72699,-0.435852,0.021484,0.001953,0.007813,0.041016,0.0,-0.001953,0.04881168671346459,0.188323973273232,0.05345685179637172,0.1943706379635207,-0.14091378616714897,2.6593344760600027e-05,0.0009636429622812702,0.022943832155941167,0.041062470273961836,0.02871852541959844,0.03302037374286743
26,582931,197135,0.624573,0.186462,0.730347,-0.204102,0.457642,0.268555,0.726868,-0.436035,0.048828,0.005859,0.005859,0.042969,-0.005859,0.003906,0.05600521303965917,0.20993908106298145,0.06099336561542151,0.21136363514668016,-0.15037026953125865,6.860765172685185e-05,0.0010590824551141033,0.04952604714693068,0.04354215977647411,0.0275065430516907,0.03359580488757994
27,582941,197153,0.624512,0.186646,0.730347,-0.204224,0.457642,0.268738,0.726685,-0.436218,0.033203,0.005859,-0.001953,0.009766,-0.009766,0.013672,0.07619941251776974,0.23851816482847127,0.06875075525349879,0.22400506318586166,-0.1552543079323629,0.00011185328987418453,0.0011300817890007651,0.033772493230438294,0.019433813213057288,0.03462543415713136,0.03940449223479101
28,582951,197163,0.624512,0.186646,0.730408,-0.204285,0.457764,0.268738,0.726624,-0.436218,-0.015625,0.011719,-0.011719,-0.023437,-0.025391,0.009766,0.08243545514749565,0.2452518338538519,0.0761157878634392,0.2311303840197465,-0.1550145961563073,0.00015291162909043308,0.0011701004507663967,0.022777413088408437,0.0359078070341256,0.03613836766940152,0.04247278851046751
29,582961,197173,0.624451,0.186523,0.730469,-0.204224,0.457886,0.268677,0.726624,-0.436096,-0.037109,0.013672,-0.019531,-0.052734,-0.021484,0.003906,0.08030200884910475,0.2379922629107717,0.08226369445954554,0.23356420777642675,-0.1513005133168812,0.00018718477462302131,0.0011837697818725221,0.04410738516393825,0.057076210876336214,0.029938989266924183,0.03941163794713467
30,582971,197184,0.62439,0.18634,0.730591,-0.204163,0.458008,0.268494,0.726685,-0.435913,-0.023437,0.011719,-0.015625,-0.054687,-0.013672,-0.001953,0.08563684976316664,0.22395057744265615,0.08510699794957254,0.23285309217433375,-0.1477460942247612,0.00020303552849893882,0.001179775871223462,0.0305084997172919,0.05640395165234436,0.024887076548183514,0.04004658725023581
31,582981,197195,0.62439,0.186279,0.730652,-0.204102,0.45813,0.268372,0.726746,-0.435852,-0.015625,0.009766,-0.001953,-0.025391,-0.011719,-0.003906,0.08674474602019087,0.22210819984638286,0.08751522951118466,0.23375600762503002,-0.14624077811384534,0.0002164608578361767,0.0011848470068069352,0.018529155134544048,0.028236406959809883,0.025051430313259182,0.03591596544294392
32,582992,197213,0.624329,0.186218,0.730652,-0.204041,0.458252,0.26825,0.726685,-0.435852,-0.005859,0.005859,0.001953,0.003906,-0.021484,0.005859,0.09041592996790476,0.23496258681800605,0.09084511833390128,0.23678155325911093,-0.14593643492520963,0.00023502421146627008,0.0012018396854819745,0.008512929636734935,0.022608559728562985,0.021170948880550527,0.027344608912353692
33,583003,197224,0.624329,0.186218,0.730713,-0.204041,0.458313,0.268311,0.726562,-0.435913,0.023437,-0.001953,-0.001953,0.011719,-0.005859,0.007813,0.09447661295555632,0.24976641110733336,0.09422602222184592,0.24436660366956042,-0.1501405814477145,0.0002538719621878908,0.0012444403730759318,0.02359918191378676,0.01525469799766616,0.019522967100604513,0.018934321178992165
34,583013,197235,0.624268,0.186279,0.730652,-0.204102,0.458313,0.268372,0.726562,-0.435974,0.023437,0.0,-0.007813,0.011719,0.001953,0.007813,0.09695145296268784,0.25311999108117633,0.09887958004402075,0.2555164143354937,-0.15663683429147296,0.00027981446179982763,0.0013070621850887869,0.02470497800039498,0.014219428223385074,0.019502324703874627,0.01727058994737711
