timestamp_ms,qw,qx,qy,qz,gx,gy,gz
3553503,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553515,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553527,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553539,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553551,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553563,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553575,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553587,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553599,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553611,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553623,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553635,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553647,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553659,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553671,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553683,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553695,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553707,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553719,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553731,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553741,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553753,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553765,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553777,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553789,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553801,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553813,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553825,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553837,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553849,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
3553861,0.330078,-0.643188,0.209717,0.658325,1.294922,0.234375,-2.255859
