sample,timestamp_w,timestamp_b,qw_w,qx_w,qy_w,qz_w,qw_b,qx_b,qy_b,qz_b,gx_w,gy_w,gz_w,gx_b,gy_b,gz_b,angle_w,angle_b,angle_w_s,angle_b_s,angle_diff,gyro_w,gyro_b,gyro_w_s,gyro_b_s,gyro_w_norm,gyro_b_norm,angle_w_norm,angle_b_norm
17,583013,197025,0.624268,0.186279,0.730652,-0.204102,0.457275,0.268311,0.727905,-0.434814,0.023437,0.0,-0.007813,0.001953,-0.005859,-0.003906,0.06685944116687882,0.050075116210820746,0.06703454588898825,0.05831410960481599,0.008720436284172253,0.02470497800039498,0.007307456876369507,0.019463445882057322,0.027236736985403912,0.000190745452354084,0.00038887251557447066,0.00024923204629118345,0.00020105077178263613
18,583023,197040,0.624268,0.18634,0.730652,-0.204224,0.457275,0.26825,0.727783,-0.434998,0.021484,0.0,-0.005859,0.019531,-0.013672,-0.011719,0.06150500614710799,0.07041121177278206,0.06684876027446096,0.07199387394239903,-0.005145113667938073,0.022268590817561853,0.02656536289983632,0.019327614197073066,0.026907691503464854,0.00018527757491465288,0.00037287543362278427,0.0002481964615082275,0.00027848103310007045
19,583033,197054,0.624268,0.18634,0.730652,-0.204346,0.457275,0.268311,0.727661,-0.435181,0.013672,-0.003906,-0.011719,0.037109,-0.023437,0.0,0.0629559833278555,0.08627419241681313,0.06619769245124288,0.08632411678783589,-0.020126424336593007,0.01842594315089461,0.0438904414423004,0.020887697348989993,0.025762711427019018,0.00024807841163394887,0.0003172103626179662,0.0002445673542056387,0.000359593135683302
20,583044,197065,0.624207,0.18634,0.730652,-0.204407,0.457336,0.268372,0.727539,-0.435364,0.013672,-0.005859,-0.013672,0.03125,-0.029297,0.003906,0.06895735682310906,0.10624482790155004,0.06574802512393041,0.10336933276799654,-0.037621307644066126,0.02020334252048408,0.04301317873628965,0.02029260160418523,0.02860959533872946,0.00022412295089077573,0.000455616260107251,0.00024206087036003992,0.0004560725409556543
21,583064,197075,0.624268,0.186279,0.730591,-0.204529,0.457397,0.268372,0.727417,-0.435425,0.007813,-0.015625,0.001953,0.011719,-0.019531,0.001953,0.070710674791263,0.11861523563721346,0.06718656043550322,0.12134446000105106,-0.05415789956554784,0.017578333339654247,0.022860645900761423,0.021587985708296824,0.031570354947859654,0.0002762683801335213,0.0005995584100720115,0.0002500793882748963,0.0005578154339268244
22,583083,197085,0.62439,0.18634,0.730469,-0.204651,0.45752,0.268372,0.727356,-0.435547,0.013672,-0.013672,-0.001953,0.007813,-0.021484,0.005859,0.06461110453031646,0.13530119611162406,0.07430245628741135,0.13904664606066128,-0.06474418977324993,0.019433511700153425,0.02359943020498588,0.020994298269890518,0.033641370287020446,0.0002523696104840707,0.0007002441934127196,0.0002897439956778196,0.0006580134240866195
23,583093,197100,0.62439,0.18634,0.730408,-0.204712,0.457703,0.268372,0.727112,-0.435608,-0.001953,-0.013672,-0.013672,0.009766,-0.029297,0.011719,0.06869768270497209,0.16028684793805464,0.08318297466873478,0.15546247513499764,-0.07227950046626286,0.019433511700153422,0.03303065131056304,0.02256581657090035,0.03359161576333097,0.0003156307668537404,0.0006978252962188203,0.000339244758822798,0.0007509303708702786
24,583110,197114,0.62439,0.186218,0.730408,-0.204956,0.457703,0.268372,0.727051,-0.43573,0.025391,-0.005859,-0.021484,0.027344,-0.005859,-0.001953,0.09853546258739608,0.17478512271486413,0.09218494182645101,0.17372724422015126,-0.08154230239370025,0.03377266672917612,0.02803277414028087,0.02390185914818693,0.030223134974297777,0.0003694128948403835,0.0005340611171232826,0.00038942248775471856,0.0008543126959064358
25,583123,197125,0.62439,0.186157,0.730347,-0.205078,0.457703,0.268433,0.72699,-0.435852,-0.001953,-0.013672,-0.011719,0.041016,0.0,-0.001953,0.11335994872972631,0.188323973273232,0.10389525227071665,0.1943706379635207,-0.09047538569280404,0.018112778748717712,0.041062470273961836,0.02658068354465164,0.032087015136206945,0.00047724843765445336,0.0006246766865043745,0.0004546967520223157,0.0009711585225290744
26,583133,197135,0.624451,0.186096,0.730347,-0.205078,0.457642,0.268555,0.726868,-0.436035,-0.021484,-0.017578,-0.009766,0.042969,-0.005859,0.003906,0.11572051057984413,0.20993908106298145,0.11723693986705079,0.21136363514668016,-0.09412669527962937,0.029426571257963437,0.04354215977647411,0.03046596801447593,0.036869412374971273,0.0006336497905551893,0.0008571807163521422,0.0005290644509901334,0.0010673423587406077
27,583150,197153,0.624573,0.185974,0.730225,-0.205078,0.457642,0.268738,0.726685,-0.436218,0.017578,-0.023437,-0.003906,0.009766,-0.009766,0.013672,0.12316265675164469,0.23851816482847127,0.126479436347426,0.22400506318586166,-0.09752562683843566,0.02955564056149012,0.019433813213057288,0.029192319153167782,0.04020845528094004,0.0005823793091847261,0.0010195137248232096,0.0005805829107802214,0.001138895424447316
28,583162,197163,0.624634,0.185974,0.730164,-0.2052,0.457764,0.268738,0.726624,-0.436218,0.03125,-0.017578,-0.005859,-0.023437,-0.025391,0.009766,0.1354061206866428,0.2452518338538519,0.13742343571925908,0.2311303840197465,-0.09370694830048742,0.03633010411490724,0.0359078070341256,0.029565161052624734,0.0402375456837299,0.000597387985626836,0.0010209280021282634,0.0006415856920934411,0.0011792261962737362
29,583173,197173,0.624634,0.186035,0.730103,-0.205322,0.457886,0.268677,0.726624,-0.436096,0.044922,-0.007813,-0.009766,-0.052734,-0.021484,0.003906,0.14474794498927204,0.2379922629107717,0.14907480326374792,0.23356420777642675,-0.08448940451267883,0.046630502988923454,0.057076210876336214,0.03142446326838053,0.03760127274867292,0.0006722338261963153,0.0008927613002468193,0.0007065314036352125,0.0011930021360362795
30,583190,197184,0.624634,0.186096,0.730042,-0.205566,0.458008,0.268494,0.726685,-0.435913,-0.003906,-0.005859,-0.007813,-0.054687,-0.013672,-0.001953,0.16807994558889175,0.22395057744265615,0.1589264889550656,0.23285309217433375,-0.07392660321926817,0.010517969670996394,0.05640395165234436,0.02837101384393308,0.03356020678027179,0.000549317827456292,0.0006962982973581887,0.0007614455357888372,0.0011889770764271976
31,583202,197195,0.624695,0.185974,0.730042,-0.205566,0.45813,0.268372,0.726746,-0.435852,-0.033203,-0.005859,-0.013672,-0.025391,-0.011719,-0.003906,0.1739773483022883,0.22210819984638286,0.16769298450818498,0.23375600762503002,-0.06606302311684503,0.036382560025374794,0.028236406959809883,0.025427442794735942,0.03281529463889004,0.00043082496083880816,0.0006600831805230726,0.000810310726012316,0.0011940877623695632
32,583213,197213,0.624695,0.185791,0.730042,-0.205444,0.458252,0.26825,0.726685,-0.435852,-0.027344,-0.005859,-0.013672,0.003906,-0.021484,0.005859,0.1724210852082331,0.23496258681800605,0.1739171632897855,0.23678155325911093,-0.06286438996932545,0.03112789425900827,0.022608559728562985,0.021957415302479365,0.029735966917663056,0.00029113969490608736,0.0005103766487017627,0.000845004826785529,0.0012112129688638805
33,583230,197224,0.624756,0.185608,0.730103,-0.205383,0.458313,0.268311,0.726562,-0.435913,0.003906,-0.003906,0.005859,0.011719,-0.005859,0.007813,0.17923859845223983,0.24976641110733336,0.17655245542734238,0.24436660366956042,-0.06781414824221804,0.008052425286831292,0.01525469799766616,0.018113874783085925,0.024427615478434257,0.0001364187364201011,0.0002523024988873511,0.0008596941688168877,0.0012541459040295447
34,583242,197235,0.624756,0.185669,0.730042,-0.205383,0.458313,0.268372,0.726562,-0.435974,0.007813,-0.003906,0.001953,0.011719,0.001953,0.007813,0.1758688388972744,0.25311999108117633,0.17870276706873184,0.2555164143354937,-0.07681364726676188,0.008950643217110154,0.014219428223385074,0.01866166668516311,0.019501866233842945,0.0001584699903909111,1.2829177829021789e-05,0.0008716801884024298,0.00131725611062362
